Sl.No,State,Zone,District,Sub District,P/M/C,Name of Local Body,Name Of Ward,
1737,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Puliyoorvanchi North,
1738,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Edakulangara North,
1739,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Veluthamanal West,
1740,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Puliyoor Vanchi South,
1741,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Puliyoor Vanchi East,
1742,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,H  S Ward,
1743,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Aramathmadam,
1744,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Thodiyoor,
1745,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Malumel,
1746,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Vengara,
1747,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Veluthamanal,
1748,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Muzhangodi East,
1749,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Muzhangodi,
1750,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Muzhangodi South East,
1751,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Mararithottam North,
1752,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Mararithottam,
1753,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Chambakadav,
1754,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Kallelibhagom South,
1755,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Kallelibhagom North,
1756,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Kallelibhagom,
1757,Kerala,Southern,Kollam,Karunagappally,Panchayath,Thodiyoor,Edakulangara,
1758,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Thazhuthala,
1759,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Punchirichira,
1760,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Alumkadavu,
1761,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Plakkadu,
1762,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Farmers Bank,
1763,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Kundumon,
1764,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Adichanalloor,
1765,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Velichikkala,
1766,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Kummalloor,
1767,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Kattachal,
1768,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Kaithkuzhy,
1769,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Mylakkadu,
1770,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Ithikkara,
1771,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Ottaplamoodu,
1772,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Anakuzhi,
1773,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Mylakkadu West,
1774,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Kottiyam East,
1775,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Venmanichira,
1776,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Kottiyam,
1777,Kerala,Southern,Kollam,Kollam,Panchayath,Adichanalloor,Thazhuthala South,
1778,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Kaliyakkulam,
1779,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Njavaroor,
1780,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Mampallikunnam,
1781,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Koippadu,
1782,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Palavila,
1783,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Edanadu,
1784,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Vayalikkada,
1785,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Varinjam,
1786,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Karamcodu,
1787,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Koshnakkavu,
1788,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Eram,
1789,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Civil Station,
1790,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Thazham,
1791,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Kalluvettankuzhy,
1792,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,MC Puram,
1793,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Meenad East,
1794,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Meenad,
1795,Kerala,Southern,Kollam,Kollam,Panchayath,Chathannur,Kottuvathukkal,
1796,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Kochalummoodu,
1797,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Uliyanadu,
1798,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,College Ward,
1799,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Kanneta,
1800,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Earam Thekku,
1801,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Chirakkara,
1802,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Kulathoorkonam,
1803,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Chirakkara Kshethram,
1804,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Edavattom,
1805,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Chirakkarathazham,
1806,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Nedungolam West,
1807,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Polachira,
1808,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Ozhukupara,
1809,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Nedungolam,
1810,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Malakkayal,
1811,Kerala,Southern,Kollam,Kollam,Panchayath,Chirakkara,Kuzhuppil,
1812,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Koickal,
1813,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Pazhayar,
1814,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Maravoor,
1815,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Uppoodu,
1816,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Nilamel,
1817,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Chittumala,
1818,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Onambalam,
1819,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Thekkemuri,
1820,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Town Ward,
1821,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Kochuplamoodu,
1822,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Muttom,
1823,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Paricheri,
1824,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Sinkarapally,
1825,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Koduvila,
1826,Kerala,Southern,Kollam,Kollam,Panchayath,East Kallada,Thazham,
1827,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kovilmukku,
1828,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Thriveni,
1829,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Elampalloor Ward,
1830,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Asupathrimukku,
1831,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Ambipoika,
1832,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kundara,
1833,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Njaliyodu Ward,
1834,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Radiomukku,
1835,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Punnamukku,
1836,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Perumpuzha,
1837,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kallingal Ward,
1838,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kampikkada,
1839,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kureeppally,
1840,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Motheemukku,
1841,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Alummoodu,
1842,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kanyakuzhy,
1843,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Thalapparampu,
1844,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Chirayadi,
1845,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Punukkannoor,
1846,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Kulapra,
1847,Kerala,Southern,Kollam,Kollam,Panchayath,Elampalloor,Mundakkal,
1848,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Varinjam,
1849,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Aduthala,
1850,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Vilavoorkkonam,
1851,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Vattakkuzhikkal,
1852,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Elamkulam,
1853,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Velamanoor,
1854,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Kizhakkanela,
1855,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Kulamada,
1856,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Puthiyapalam,
1857,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Kottakkeram,
1858,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Kadampattukonam,
1859,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Chavarcode,
1860,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Ezhippuram,
1861,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Parippally,
1862,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,ESI,
1863,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Meenambalam,
1864,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Karimpaloor,
1865,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Kulathoorkonam,
1866,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Chirakkara,
1867,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Pampuram,
1868,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Mevanakonam,
1869,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Nadakkal,
1870,Kerala,Southern,Kollam,Kollam,Panchayath,Kalluvathukkal,Kalluvathukkal,
1871,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Punukkannoor,
1872,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Kovilmukku,
1873,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Puthenkulangara,
1874,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Kolasseri,
1875,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Mandalam,
1876,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Mampuzha,
1877,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Kottamkara,
1878,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Vayanasala,
1879,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Elippikkonam,
1880,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Peroor,
1881,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Ambedkar Gramam,
1882,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,M.V.G.H.S,
1883,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Thettichira,
1884,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Kuttichira,
1885,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,College Ward,
1886,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Karicode,
1887,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Mekkone,
1888,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Chandanathoppe,
1889,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Mamoodu,
1890,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Village,
1891,Kerala,Southern,Kollam,Kollam,Panchayath,Kottamkara,Keralapuram,
1892,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Mulavana Ward,
1893,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Karippuram Ward,
1894,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Mukkoodu Ward,
1895,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Palanirappu Ward,
1896,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Pulipra Ward,
1897,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Thannicodu Ward,
1898,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Kakkolil Ward,
1899,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Thettikkunnu Ward,
1900,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Kundara Ward,
1901,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Roadkadavu Ward,
1902,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Kanjiracodu Ward,
1903,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,M G D H S Ward,
1904,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Katakkasseri Ward,
1905,Kerala,Southern,Kollam,Kollam,Panchayath,Kundara,Nellivila Ward,
1906,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Vazhapally Ward,
1907,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Umayanalloor North Ward,
1908,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Umayanalloor East Ward,
1909,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Kottiyam Ward,
1910,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Parakulam Ward,
1911,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Kottiyam South Ward,
1912,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Naduvilakara Ward,
1913,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Thekkumkara East Ward,
1914,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Pullichira Ward,
1915,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Dhavalakuzhi Ward,
1916,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Kakottumoola Ward,
1917,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Mukkom East Ward,
1918,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Mukkom West Ward,
1919,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Mayyanad South Ward,
1920,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Mayyanad Ward,
1921,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Mayyanad West Ward,
1922,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Koottikada Ward,
1923,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Ayiramthengu Ward,
1924,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Thekkumkara West Ward,
1925,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Kizhakke Padanilam Ward,
1926,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Padanilam Ward,
1927,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Venpalakkara Ward,
1928,Kerala,Southern,Kollam,Kollam,Panchayath,Mayyanad,Pinakkal Ward,
1929,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Kidapram North Ward,
1930,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Kidapram South Ward,
1931,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Kandramkani Ward,
1932,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Villimangalam West Ward,
1933,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Villimangalam Ward,
1934,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Nenmeni East Ward,
1935,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Thoompum Mukham Ward,
1936,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Nenmeni Ward,
1937,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Nenmeni South Ward,
1938,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Pattomthuruthu East Ward,
1939,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Pezhumthuruthu Ward,
1940,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Pattomthuruthu West Ward,
1941,Kerala,Southern,Kollam,Kollam,Panchayath,Munroethuruth,Perungalam Ward,
1942,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Pazhangalam North Ward,
1943,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Nallila Ward,
1944,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Nallila East Ward,
1945,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Puliyila North Ward,
1946,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Puliyila Ward,
1947,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Elavoor Ward,
1948,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Pallimon North Ward,
1949,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Malevayal Ward,
1950,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Meeyannoor Ward,
1951,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Velichikkala Ward,
1952,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Kundumon Ward,
1953,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Pallimon Ward,
1954,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Kulappadom South Ward,
1955,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Muttakkavu North Ward,
1956,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Muttakkavu South Ward,
1957,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Muttakkavu West Ward,
1958,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Nedumpana South Ward,
1959,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Kulappadom North Ward,
1960,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Nedumpana Ward,
1961,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Kalakkal Ward,
1962,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Nedumpana North Ward,
1963,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Pazhangalam South Ward,
1964,Kerala,Southern,Kollam,Kollam,Panchayath,Nedumpana,Pazhangalam Ward,
1965,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Perumon West Ward,
1966,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Perumon East Ward,
1967,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,P H C Ward,
1968,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Railwaystation Ward,
1969,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Chemmakkadu Ward,
1970,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Charukadu Ward,
1971,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Chathinamkulam Ward,
1972,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Gurukulam Ward,
1973,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Pampalil Ward,
1974,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Kandachira Ward,
1975,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Thannikkamukku Ward,
1976,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Chonamchira Ward,
1977,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Ambazhavayal Ward,
1978,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Panayam Ward,
1979,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Kovilmukku Ward,
1980,Kerala,Southern,Kollam,Kollam,Panchayath,Panayam,Chittayam Ward,
1981,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Kuthiramunmbu,
1982,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Padappakara,
1983,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Karikuzhi?,
1984,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Kumbalam,
1985,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Kumbalam Phc,
1986,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Perayam A,
1987,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Palliyara,
1988,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Kottapuram,
1989,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Mulavana?,
1990,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Perayam?B,
1991,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Kanjiracode,
1992,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Neerozhikkil,
1993,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,S J Library,
1994,Kerala,Southern,Kollam,Kollam,Panchayath,Perayam,Fatima Junction,
1995,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Vellimon West,
1996,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Vellimon,
1997,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Vellimon East,
1998,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Starch,
1999,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Cherumoodu,
2000,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Nanthirickal,
2001,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Chirackonam,
2002,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Keralapuram,
2003,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Edavattom East,
2004,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Keralapuram West,
2005,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Edavattom A,
2006,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Varattuchira,
2007,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Edavattom?B,
2008,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,I T I,
2009,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Chandanathope,
2010,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Kuzhiyam,
2011,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Perinad H S,
2012,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Perinad,
2013,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Cherumoodu IT,
2014,Kerala,Southern,Kollam,Kollam,Panchayath,Perinad,Blaveth,
2015,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Mukkada,
2016,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Koonamkulam,
2017,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Puthankulam,
2018,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Oonninmoodu,
2019,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Ezhamvila,
2020,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Poothakkulam,
2021,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,H S,
2022,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Punnekkulam,
2023,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Edayadi,
2024,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Stadium,
2025,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Nellettil,
2026,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Mavila,
2027,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Edavattam,
2028,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Kalakkodu,
2029,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,PHC,
2030,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Perumkulam,
2031,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Njarodu,
2032,Kerala,Southern,Kollam,Kollam,Panchayath,Poothakulam,Kottuvankonam,
2033,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Ashtamudi,
2034,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Vadakkekara,
2035,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Naduvilacherry,
2036,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Inchavila,
2037,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Stadium,
2038,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Kanjiramkuzhi,
2039,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Njarackal,
2040,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Vanmala,
2041,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Kanjavely,
2042,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Madurasserril,
2043,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Sambrannikkodi,
2044,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Friends,
2045,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Prakkulam,
2046,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Thekkecherry,
2047,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,Manalikkada,
2048,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkaruva,High School,
2049,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkovilvattom,Thattarkonam,
2050,Kerala,Southern,Kollam,Kollam,Panchayath,Thrikkovilvattom,Cheriyela,
